Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu_fit,Ex,W2,q2,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,sigtot_shifted,qe_shifted,ratio
26,56,0.1503,90.0,0.01869,95613.0,1465.7,Altemus:1973,0.1316,90.0000,0.0187,0.0172,0.8759,0.0396,160409.28799999997,1149.7199999999998,0.0,211.12,159048.44799999997,1360.8399999999997,159048.44799999997,0.0,0.6011564476253174
26,56,0.1503,90.0,0.02479,90954.0,1483.4,Altemus:1973,0.1255,90.0000,0.0248,0.0233,0.8891,0.0377,74181.536,25769.952,0.0,2338.0240000000003,46073.56,28107.976,46073.55999999999,0.0,1.9741040197458155
26,56,0.1503,90.0,0.03092,97369.0,1583.7,Altemus:1973,0.1194,90.0000,0.0309,0.0295,0.9025,0.0359,73735.16799999998,49535.668,0.0,3812.7439999999997,20386.756,53348.412,20386.75599999998,0.0,4.776090909215772
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,0.1133,90.0000,0.0370,0.0356,0.9158,0.0340,81206.52799999999,63816.792,0.0,4412.824,12976.859999999999,68229.616,37029.04399999999,24052.131999999998,2.572413157628375
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,0.1071,90.0000,0.0432,0.0417,0.9291,0.0322,80328.404,69986.072,0.0,4488.744,5853.588,74474.81599999999,56833.503999999986,50979.91599999999,1.6389452249856005
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,0.1010,90.0000,0.0493,0.0478,0.9424,0.0304,74470.29199999999,67816.32,0.0,4157.66,2496.26,71974.03199999999,69309.03199999996,66812.71999999999,1.2862970009449857
26,56,0.1503,90.0,0.05542,74843.0,1864.0,Altemus:1973,0.0949,90.0000,0.0554,0.054,0.9558,0.0285,64087.92,59703.07199999999,0.0,3579.2119999999995,805.6880000000001,63282.23199999999,75023.364,74217.72799999999,0.9975958955932714
26,56,0.1503,90.0,0.06156,61899.0,2017.3,Altemus:1973,0.0887,90.0000,0.0616,0.0601,0.9692,0.0267,52017.056000000004,48947.079999999994,0.0,2909.2439999999992,160.73199999999997,51856.324,72804.88799999999,72644.15599999999,0.8502039038917278
26,56,0.1503,90.0,0.06772,50044.0,2318.0,Altemus:1973,0.0826,90.0000,0.0677,0.0663,0.9826,0.0248,40284.81599999999,38001.808,5.356,2258.8799999999997,18.772,40266.044,64495.54799999999,64471.41999999999,0.7759295261744269
26,56,0.1503,90.0,0.078,38559.0,3360.6,Altemus:1973,0.0723,90.0000,0.0780,0.0765,1.0050,0.0217,24058.112,22643.920000000002,29.639999999999997,1384.396,0.156,24057.955999999995,45310.719999999994,45280.924,0.8509906706404137
